Num,Current_J0,Temperature_T0,Current_J1,Temperature_J1,Current_J2,Temperature_J2,Current_J3,Temperature_J3,Current_J4,Temperature_J4,Current_J5,Temperature_J5,Speed_J0,Speed_J1,Speed_J2,Speed_J3,Speed_J4,Speed_J5,Tool_current,cycle ,Robot_ProtectiveStop,grip_lost
-1.7318171,0.19119096,-2.546022,0.34141505,-2.5514,-0.5444121,-2.623729,-0.76375276,-2.7691684,-0.06273837,-2.8158782,-1.1889048,-2.6879778,1.974885,-0.011159021,-0.0034011747,-0.356207,-0.17351983,-0.4964216,-0.33993194,-1.7397395,-0.19819734,0
-1.7313496,0.7771733,-2.546022,0.024337066,-2.570648,0.5456655,-2.6048565,0.775323,-2.749528,-1.6485145,-2.8158782,-2.0263534,-2.6879778,-0.011226732,-0.00738917,-0.0022015914,0.017440956,0.0011111314,-0.007846902,5.028376,-1.7397395,-0.19819734,0
-1.730882,-0.21769091,-2.546022,-0.62778056,-2.570648,-1.8115708,-2.6048565,0.49293423,-2.7691684,-1.0240269,-2.7988827,0.2955669,-2.6709929,0.90896094,0.15665391,-3.4819856,1.068067,0.032890324,-1.5918622,-0.38194606,-1.7397395,-0.19819734,0
-1.7304145,0.13744399,-2.546022,-1.7364318,-2.570648,-0.0299556,-2.6048565,-1.1726547,-2.7691684,-1.2632451,-2.8158782,1.1848221,-2.6879778,-0.61801875,-0.100725636,-0.017668517,-1.0544801,0.50009257,1.3464032,-0.33240217,-1.7397395,-0.19819734,0
-1.729947,1.1250832,-2.546022,-0.8007226,-2.5514,-0.9750009,-2.6048565,-3.400955,-2.749528,-1.4957818,-2.7988827,1.3791554,-2.6879778,0.8408916,0.111528784,-0.0036367872,-0.96860707,0.41118503,0.56734717,-0.29366672,-1.7397395,-0.19819734,0
-1.7294793,0.20244446,-2.5686517,0.16915873,-2.5514,-0.020326888,-2.6048565,0.23980969,-2.749528,0.060699567,-2.7988827,0.4951541,-2.6709929,-0.011538494,0.0006386482,-0.004837729,0.018837046,0.027950494,-0.017043367,0.9994436,-1.7397395,-0.19819734,0
-1.7290118,0.16286756,-2.546022,0.67502725,-2.5514,0.3914259,-2.6048565,0.22709638,-2.749528,0.046728086,-2.7988827,0.40536168,-2.6709929,-0.011226732,-0.001238264,-0.0051975055,0.012806666,0.021063121,-0.009174903,-0.308724,-1.7397395,-0.19819734,0
-1.7285442,0.15022986,-2.546022,0.57655376,-2.5514,0.39029682,-2.6048565,0.18017328,-2.749528,0.0017809412,-2.7988827,0.29678398,-2.6709929,-0.011226732,-0.001238264,-0.0051975055,0.012806666,0.021063121,-0.009174903,-0.28504506,-1.7397395,-0.19819734,0
-1.7280767,-0.16629398,-2.546022,-0.33208916,-2.5514,-0.3599556,-2.6048565,0.6667234,-2.749528,0.19486403,-2.7988827,-1.3507922,-2.6709929,-1.1267226,0.047552757,-0.026424773,0.98527294,-0.23874949,-0.6230349,-0.30119497,-1.7397395,-0.19819734,0
-1.7276092,-0.13260917,-2.546022,0.6836101,-2.5514,-1.2788395,-2.6048565,0.81716985,-2.749528,0.1619112,-2.7988827,-1.6296822,-2.6709929,0.6494756,0.09995842,-0.02849929,1.3913515,-0.43043616,-1.8843786,-0.31090927,-1.7397395,-0.19819734,0
